id,gender,class,gpa,scale1,scale2
175,female,senior,2.58,1,7
176,female,sophomore,2.44,5,7
177,female,sophomore,2.78,3,3
178,female,senior,1.94,2,4
179,female,senior,1.76,2,8
180,male,freshman,3.07,3,1
181,male,junior,2.99,4,3
182,female,senior,3.13,1,9
183,female,freshman,3.36,1,9
184,female,sophomore,3.01,5,2
185,female,freshman,2.24,4,6
186,male,sophomore,2.28,3,3
187,male,senior,3.18,3,7
188,female,freshman,2.27,3,3
189,male,junior,2.42,1,6
190,male,junior,2.51,4,1
191,female,sophomore,2.54,3,9
192,female,freshman,3.07,2,2
193,female,freshman,2.41,4,9
194,male,junior,2.24,4,1
195,male,junior,3.15,5,3
196,male,senior,3.31,4,2
197,female,junior,2.79,1,4
198,female,senior,2.89,3,8
199,female,sophomore,2.97,1,9
200,male,junior,2.26,3,7
201,male,freshman,2.61,2,5
202,female,sophomore,2.59,3,5
203,male,freshman,2.1,5,7
204,male,sophomore,3.53,4,1
205,male,junior,2.62,3,7
206,female,junior,2.88,2,2
207,male,sophomore,3.77,1,1
208,male,freshman,2.43,3,8
209,female,freshman,2.39,5,2
210,female,freshman,2.83,5,8
211,male,senior,3.27,4,1
212,female,junior,2.01,2,3
213,female,senior,2.97,3,3
214,male,senior,3.13,4,1
215,female,junior,2.8,3,5
216,male,freshman,3.9,2,3
217,female,sophomore,2.96,1,4
218,female,junior,3.15,3,4
219,male,junior,2.11,2,1
220,male,junior,3.07,2,8
221,female,freshman,2.77,4,6
222,male,sophomore,2.71,3,9
223,female,sophomore,2.92,2,5
224,male,junior,3.82,4,3
225,male,sophomore,2.21,3,7
226,female,senior,2.55,1,9
227,male,senior,2.71,5,3
228,male,junior,3.67,5,8
229,female,junior,2.23,3,2
230,female,freshman,2.25,2,7
231,female,sophomore,2.8,3,1
232,female,senior,3.24,2,1
233,male,sophomore,2.52,2,9
234,female,freshman,3.32,3,6
235,female,junior,2.75,1,2
236,female,sophomore,3.43,5,1
237,female,junior,3.32,1,5
238,male,freshman,3.16,2,4
239,female,junior,2.8,3,8
240,female,senior,2.5,4,9
241,female,senior,2.97,3,6
242,male,junior,2.37,4,4
243,male,freshman,2.83,2,6
244,female,junior,2.77,5,9
245,female,senior,3.01,1,9
246,female,junior,2.55,4,3
247,female,sophomore,2.94,3,3
248,male,junior,2.77,2,6
249,female,junior,2.3,3,3
250,male,freshman,2.85,2,9
251,male,sophomore,2.65,5,6
252,male,sophomore,3.21,2,9
253,male,junior,2.58,2,2
254,female,freshman,2.89,2,8
255,male,freshman,2.39,1,4
256,male,sophomore,2.61,3,1
257,female,junior,2.56,1,5
258,male,freshman,2.89,2,1
259,female,senior,2.83,2,5
260,male,freshman,2.82,2,7
261,male,freshman,1.89,2,2
262,female,senior,2.61,1,1
263,female,senior,2.65,2,9
264,female,junior,2.96,3,4
265,female,junior,2.8,3,4
266,female,sophomore,2.25,3,9
267,male,junior,3.24,2,7
268,female,senior,2.83,1,8
269,female,senior,2.87,2,5
270,male,senior,2.73,4,6
271,female,sophomore,2.6,5,9
272,female,senior,3.31,2,5
273,female,junior,2.28,3,1
274,female,sophomore,2.67,3,8
275,female,senior,2.91,4,12
276,male,junior,2.43,1,1
277,male,freshman,1.96,1,4
278,male,sophomore,2.92,5,7
279,male,sophomore,3.52,2,2
280,male,senior,3.21,3,3
281,female,junior,2.57,3,7
282,male,junior,2.72,1,4
283,female,sophomore,2.74,3,3
284,female,junior,2.83,3,2
285,female,sophomore,2.81,2,9
286,female,junior,2.85,1,7
287,male,freshman,1.8,3,5
288,female,freshman,2.92,1,8
289,female,senior,3.07,2,9
290,male,senior,2.34,4,6
291,female,freshman,2.66,2,6
292,male,freshman,1.43,2,9
293,female,sophomore,2.98,1,3
294,male,sophomore,2.82,2,9
295,male,senior,3.27,3,9
296,male,senior,2.72,3,8
297,male,senior,2.67,4,2
298,female,sophomore,2.74,2,9
299,female,sophomore,2.33,3,2
300,male,junior,2.3,3,8
301,female,freshman,2.71,2,5
302,female,freshman,2.78,2,2
303,female,sophomore,3.12,1,9
304,female,sophomore,1.96,3,4
305,female,junior,2.66,2,1
306,male,senior,2.67,3,3
307,female,senior,2.9,4,5
308,male,junior,2.86,4,9
309,male,freshman,2.39,2,8
310,male,junior,2.26,4,3
311,male,freshman,2.31,5,1
312,female,freshman,2.52,3,9
313,male,junior,3.41,2,9
314,female,senior,2.65,3,8
315,male,freshman,2.55,2,3
316,male,senior,2.26,3,2
317,female,freshman,3.01,1,6
318,male,sophomore,2.44,1,4
319,male,sophomore,2.61,4,6
320,female,senior,1.86,3,1
321,female,sophomore,2.54,3,3
322,male,freshman,3.15,3,1
323,female,junior,2.26,3,1
324,female,freshman,2.81,3,9
325,male,junior,2.12,5,7
326,female,senior,2.9,5,9
327,male,senior,3,1,4
328,male,senior,2.94,3,2
329,female,junior,2.56,2,9
330,male,freshman,3.1,5,1
331,female,senior,2.38,4,5
332,female,freshman,2.26,3,2
333,male,sophomore,2.48,2,7
334,female,sophomore,3.98,1,4
335,male,sophomore,3.03,3,1
336,female,senior,2.63,3,2
337,female,senior,2.73,5,4
338,male,junior,3.44,3,9
339,male,freshman,2.1,2,8
340,female,junior,2.44,2,9
341,male,sophomore,3.13,1,8
342,female,senior,2.81,1,5
343,male,sophomore,2.55,5,9
344,male,freshman,2.6,3,8
345,male,sophomore,2.91,3,7
346,female,junior,2.55,2,5
347,male,junior,3.32,1,7
348,male,sophomore,2.86,5,4
349,female,junior,2.92,3,6
350,female,senior,2.18,2,9
351,male,sophomore,2.75,2,8
352,male,freshman,2.9,2,9
353,female,sophomore,2.78,4,9
354,male,sophomore,3.07,4,4
355,female,freshman,2.16,2,4
356,male,junior,2.8,3,6
357,male,senior,2.45,4,9
358,male,freshman,2.7,4,7
359,female,sophomore,2.13,3,1
360,female,senior,2.86,2,2
361,female,sophomore,2.67,2,4
362,male,sophomore,2.54,2,6
363,male,senior,2.57,4,1
364,female,freshman,2.94,1,1
365,male,junior,2.42,1,3
366,male,sophomore,2.51,3,4
367,female,sophomore,2.69,1,9
368,female,freshman,3.07,4,9
369,female,senior,2.01,2,7
370,female,freshman,3,1,4
371,female,freshman,2.75,2,5
372,male,senior,1.66,1,8
373,male,senior,3.74,5,7
374,male,junior,2.47,4,2
375,male,sophomore,2.96,2,3
376,male,junior,2.58,2,8
377,male,senior,2.36,3,7
378,female,senior,2.71,3,4
379,male,sophomore,3.05,3,4
380,male,senior,2.88,1,9
381,female,freshman,2.35,2,9
382,male,freshman,2.72,2,4
383,male,sophomore,1.62,1,4
384,female,freshman,1.95,4,9
385,male,sophomore,3.6,3,5
386,male,freshman,2.85,3,6
387,female,senior,3.28,4,6
388,male,sophomore,1.92,4,4
389,female,junior,2.37,3,2
390,male,junior,2.93,1,4
391,female,freshman,2.81,2,4
392,male,freshman,2.91,3,1
393,female,sophomore,3.09,3,2
394,female,freshman,2.55,4,6
395,male,freshman,3.21,3,1
396,male,junior,2.35,2,5
397,male,freshman,2.31,3,5
398,male,junior,2.47,3,5
399,female,freshman,2.8,2,8
400,male,freshman,2.78,4,9
401,female,senior,2.95,3,6
402,female,senior,2.69,4,2
403,female,junior,3.32,4,6
404,male,sophomore,2.72,2,7
405,female,sophomore,2.85,3,2
406,male,freshman,3.42,2,9
407,female,sophomore,2.7,4,9
408,male,sophomore,3.67,1,1
409,male,junior,2.62,5,8
410,female,freshman,3.08,3,9
411,female,sophomore,2.56,2,6
412,male,senior,2.97,2,5
413,male,sophomore,2.52,3,3
414,female,sophomore,2.99,1,4
415,male,freshman,2.68,1,6
416,male,sophomore,2.24,1,8
417,female,senior,2.59,2,7
418,male,sophomore,2.95,4,5
419,male,senior,2.91,3,4
420,female,freshman,2.88,1,4
421,female,freshman,2.69,2,8
422,male,junior,2.62,3,9
423,male,senior,2.44,3,9
424,male,freshman,2.99,4,1
425,female,senior,2.95,4,8
426,male,sophomore,3,2,4
427,male,freshman,2.46,3,4
428,male,freshman,2.43,5,2
429,male,freshman,3.08,1,7
430,female,sophomore,2.85,1,9
431,female,senior,2.61,1,4
432,female,senior,3.19,2,7
433,female,junior,3.02,2,7
434,male,sophomore,1.84,5,6
435,female,freshman,2.75,4,9
436,male,junior,2.98,1,8
437,female,sophomore,2.34,3,7
438,male,junior,2.28,4,4
439,male,senior,2.49,3,5
440,male,junior,3,1,8
441,female,freshman,2.43,1,1
442,male,junior,2.86,1,9
443,male,sophomore,2.02,5,9
444,female,senior,2.55,5,7
445,male,junior,2.97,2,2
446,female,senior,3.07,3,3
447,male,freshman,2.55,5,4
448,male,senior,2.66,4,6
449,female,junior,2.93,2,3
450,male,freshman,2.23,4,9
451,male,sophomore,2.25,3,1
452,female,senior,3.18,3,6
453,female,senior,2.98,4,2
454,female,freshman,2.23,3,3
455,female,freshman,2.87,1,8
456,male,sophomore,2.95,5,6
457,female,senior,2.44,2,6
458,female,senior,2.32,4,1
459,male,senior,2.95,3,4
460,male,freshman,2.78,4,8
461,male,senior,1.63,2,7
462,male,senior,2.46,5,7
463,female,junior,2.08,2,2
464,female,freshman,2.57,4,2
465,female,sophomore,2.58,1,7
466,female,sophomore,3.25,2,5
467,female,senior,2.94,4,6
468,male,freshman,3,2,3
469,female,freshman,2.09,2,7
470,female,freshman,3.34,5,3
471,male,senior,3.02,3,8
472,female,senior,3.02,3,3
473,male,senior,3.16,5,7
474,male,freshman,2.56,4,5
475,female,senior,2.7,1,8
476,male,freshman,2.32,5,3
477,female,freshman,3.32,3,3
478,male,junior,2.51,4,9
479,female,freshman,2.86,1,7
480,female,junior,2.72,5,6
481,female,sophomore,3.06,5,3
482,female,senior,3.11,1,1
483,male,junior,3.48,5,5
484,female,senior,2.36,1,3
485,female,senior,2.91,1,9
486,male,junior,2.45,2,8
487,female,sophomore,2.88,2,7
488,female,senior,2.81,1,6
489,male,sophomore,2.84,3,2
490,male,sophomore,3.17,1,3
491,female,freshman,2.22,3,5
492,male,senior,2.88,1,1
493,male,senior,2.75,5,7
494,female,senior,2.61,4,8
495,male,sophomore,1.98,5,7
496,female,freshman,2.05,2,5
497,female,senior,3.24,2,4
498,male,freshman,3.09,5,5
499,female,senior,3.03,2,4
500,male,senior,2.82,2,8
501,male,senior,3.67,1,9
502,male,senior,3.93,4,9
503,female,senior,1.56,3,8
504,female,freshman,2.66,2,2
505,female,junior,2.09,2,8
506,male,freshman,3.74,3,2
507,female,sophomore,2.18,2,7
508,female,sophomore,2.38,1,5
509,male,sophomore,3.19,3,2
510,female,freshman,1.77,5,1
511,female,junior,3.13,3,4
512,female,junior,2.79,2,9
513,female,sophomore,2.72,3,8
514,male,senior,2.33,3,6
515,male,freshman,2.16,2,2
516,male,freshman,2.08,4,6
517,female,senior,2.76,2,7
518,female,sophomore,2.51,3,9
519,male,sophomore,2.55,3,9
520,female,freshman,2.48,2,8
521,male,junior,2.43,5,4
522,female,senior,3.02,3,1
523,male,senior,2.33,2,6
524,male,junior,2.45,2,3
525,male,senior,2.48,3,6
526,female,sophomore,2.78,3,9
527,female,sophomore,2.8,2,4
528,male,junior,2.65,5,2
529,female,senior,2.61,5,5
530,male,sophomore,1.93,3,6
531,male,freshman,2.76,2,3
532,female,senior,2.91,2,5
533,male,sophomore,2.81,5,1
534,female,sophomore,2.16,3,8
535,male,junior,2.69,2,2
536,female,freshman,3.51,3,5
537,male,sophomore,3.35,1,5
538,female,junior,2.55,5,4
539,female,freshman,2.85,3,4
540,male,senior,2.3,4,9
541,female,junior,2.76,5,4
542,male,freshman,2.66,2,3
543,female,sophomore,2.84,1,9
544,female,junior,2.86,3,8
545,female,junior,1.76,3,8
546,female,sophomore,2.82,2,7
547,male,junior,2.41,5,6
548,male,sophomore,2.3,2,7
549,male,senior,2.6,3,1
550,female,senior,2.52,2,9
551,male,sophomore,2.92,1,4
552,female,sophomore,2.31,4,9
553,female,junior,2.75,2,5
554,male,freshman,3.03,1,3
555,male,sophomore,2.62,2,2
556,female,junior,2.57,4,2
557,female,freshman,2.52,1,3
558,female,freshman,2.59,2,8
559,male,junior,2.63,1,5
560,male,senior,2.3,4,7
561,male,senior,2.64,3,8
562,male,sophomore,2.08,5,3
563,female,freshman,2.53,5,9
564,female,junior,2.96,3,4
565,male,freshman,3.39,4,1
566,female,senior,3.12,5,9
567,female,freshman,2.94,4,8
568,male,sophomore,2.49,1,9
569,male,sophomore,2.93,1,4
570,female,sophomore,2.78,1,9
571,female,junior,2.34,3,8
572,male,senior,2.4,3,5
573,female,junior,2.93,3,1
574,female,sophomore,2.46,3,1
575,male,freshman,2.5,1,8
576,female,junior,3.14,2,8
577,female,sophomore,3.31,4,8
578,female,junior,3.19,3,6
579,female,freshman,3.27,3,8
580,male,freshman,2.96,2,5
581,male,junior,2.78,2,4
582,male,sophomore,3.23,1,6
583,male,sophomore,4,4,3
584,female,senior,2.98,2,7
585,female,sophomore,2.74,4,3
586,male,senior,2.82,3,4
587,female,senior,2.9,4,1
588,female,junior,3.01,2,9
589,female,sophomore,2.06,4,2
590,female,senior,3.4,3,2
591,male,freshman,2.56,2,1
592,female,junior,1.97,3,7
593,male,junior,1.97,1,6
594,female,senior,2.07,1,7
595,male,senior,2.45,5,8
596,male,junior,2.3,3,5
597,female,senior,2.96,2,2
598,female,sophomore,2.8,2,7
599,male,junior,2.87,1,8
600,male,freshman,2.89,5,4
601,female,freshman,2.83,1,5
602,male,senior,3.24,2,9
603,female,freshman,2.68,4,5
604,female,freshman,3.01,2,2
605,male,sophomore,2.53,2,8
606,female,senior,2.84,3,4
607,male,sophomore,2.75,2,9
608,male,freshman,2.41,3,8
609,male,junior,2.44,1,3
610,male,junior,2.05,1,5
611,male,senior,2.38,2,8
612,female,freshman,3.02,1,8
613,female,sophomore,3.13,5,6
614,male,junior,1.93,4,1
615,female,sophomore,1.81,4,4
616,female,sophomore,2.47,3,2
617,male,senior,3.03,4,4
618,male,junior,2.98,4,3
619,female,junior,2.76,1,2
620,male,senior,2.3,3,6
621,male,sophomore,3.26,1,2
622,male,senior,2.19,2,8
623,male,freshman,2.5,4,7
624,male,junior,2.64,1,6
625,male,senior,2.68,3,9
626,female,senior,2.57,2,1
627,female,sophomore,2.46,2,9
628,female,senior,2.08,4,5
629,male,junior,2.49,2,7
630,female,senior,2.94,5,6
631,male,sophomore,2.67,1,2
632,female,senior,2.91,2,9
633,female,sophomore,3.01,3,3
634,male,sophomore,2.19,1,7
635,female,sophomore,2.95,3,5
636,male,freshman,2.57,4,2
637,male,junior,2.28,3,3
638,female,freshman,3.31,4,2
639,female,freshman,2.08,3,4
640,female,senior,2.86,2,8
641,male,freshman,1.96,2,6
642,female,sophomore,3.09,3,1
643,male,sophomore,2.76,1,9
644,female,freshman,3.03,3,7
645,female,sophomore,2.68,2,6
646,male,sophomore,3.08,2,6
647,female,sophomore,3.48,3,8
648,female,junior,2.16,4,9
649,female,senior,2.38,5,3
650,male,junior,3.23,4,5
651,male,sophomore,2.54,3,9
652,male,junior,2.58,3,6
653,male,senior,2.97,2,7
654,female,senior,3.43,2,9
655,male,sophomore,2.97,5,7
656,male,junior,2.82,1,7
657,female,freshman,2.41,4,8
658,male,senior,2.68,3,9
659,male,freshman,3,4,6
660,female,sophomore,3.09,1,9
661,female,senior,2.89,2,6
662,female,senior,1.95,2,5
663,male,junior,2.08,4,5
664,female,sophomore,3,3,8
665,female,sophomore,2.13,3,7
666,female,senior,2.76,3,9
667,female,junior,2.62,4,3
668,male,sophomore,2.61,4,4
669,female,sophomore,2.69,4,7
670,male,sophomore,2.41,1,7
671,female,sophomore,2.91,2,5
672,male,freshman,2.38,3,2
673,male,sophomore,2.45,4,2
674,male,freshman,2.88,4,3
675,female,sophomore,2.96,2,9
676,female,junior,2.23,3,8
677,female,senior,2.7,3,3
678,male,sophomore,2.28,1,9
679,male,sophomore,2.64,5,5
680,male,freshman,2.71,2,6
681,female,freshman,2.51,4,7
682,male,sophomore,2.7,5,1
683,male,junior,2.35,1,6
684,female,freshman,2.42,2,5
685,male,senior,2.23,2,1
686,male,senior,3.27,1,6
687,male,junior,2.9,4,3
688,male,sophomore,2.98,2,1
689,male,freshman,3.06,2,4
690,male,sophomore,2.6,5,8
691,male,senior,2.58,1,2
692,male,junior,2.42,3,9
693,male,freshman,3.61,2,2
694,female,freshman,2.44,3,1
695,female,junior,2.91,3,5
696,female,freshman,3.26,2,4
697,male,freshman,2.36,4,5
698,male,junior,3.46,2,1
699,female,freshman,3.2,2,6
700,female,senior,2.63,2,8
701,female,sophomore,2.87,1,6
702,male,junior,2.3,3,1
703,female,senior,2.93,2,4
704,female,senior,2.4,5,2
705,female,sophomore,2.58,1,4
706,female,junior,2.76,2,3
707,male,sophomore,2.33,1,5
708,male,senior,2.8,1,9
709,male,senior,2.5,3,6
710,female,junior,3.54,2,3
711,male,freshman,3.1,3,8
712,female,freshman,2.25,1,7
713,female,sophomore,2.96,2,2
714,male,sophomore,2.6,5,9
715,male,sophomore,3.22,1,2
716,female,senior,3.34,2,9
717,female,sophomore,2.73,2,6
718,male,sophomore,3.07,1,7
719,female,senior,2.79,2,3
720,male,junior,2.56,4,7
721,male,junior,2.72,3,1
722,female,sophomore,2.49,4,1
723,female,sophomore,2.64,3,4
724,male,freshman,3.15,1,1
725,male,junior,2.82,2,5
726,female,sophomore,2.26,5,6
727,female,sophomore,2.73,3,5
728,female,freshman,2.52,2,8
729,male,junior,2.5,2,5
730,male,freshman,2.5,4,9
731,female,sophomore,2.4,2,9
732,male,freshman,2.43,1,8
733,female,sophomore,2.74,5,8
734,female,sophomore,2.01,5,9
735,male,senior,3.17,1,6
736,female,freshman,2.77,2,2
737,male,freshman,3.15,1,4
738,female,senior,1.99,3,3
739,male,junior,2.64,3,9
740,female,senior,3.08,2,2
741,female,freshman,3.11,3,6
742,male,senior,2.52,2,2
743,female,junior,2.5,4,4
744,female,freshman,2.73,3,7
745,female,junior,3.39,4,8
746,male,sophomore,2.49,2,1
747,male,junior,3.39,4,4
748,male,sophomore,2.52,5,9
749,male,junior,1.88,3,1
750,female,senior,2.31,4,7
751,male,senior,3.71,3,2
752,female,freshman,2.6,3,5
753,male,sophomore,2.38,2,7
754,male,senior,2.48,3,1
755,male,freshman,3.15,1,8
756,male,sophomore,2.45,1,7
757,female,freshman,3.36,4,6
758,male,junior,2.22,2,6
759,male,sophomore,3.35,5,6
760,female,junior,3.1,2,2
761,female,sophomore,2.45,4,2
762,female,freshman,3.4,2,7
763,male,junior,2.52,5,4
764,male,freshman,2.51,2,8
765,female,senior,3.23,1,8
766,male,junior,2.97,2,9
767,male,senior,2.93,1,9
768,female,senior,2.6,2,8
769,male,freshman,2.96,2,8
770,male,sophomore,2.94,2,1
771,male,sophomore,2.81,5,1
772,female,senior,2.57,3,5
773,female,senior,2.43,3,3
774,female,senior,2.92,3,7
775,female,freshman,2.78,3,7
776,female,freshman,2.98,3,5
777,male,junior,2.33,3,3
778,male,freshman,2.62,2,1
779,female,freshman,2.03,3,8
780,female,senior,2.86,4,2
781,male,freshman,2.93,3,5
782,female,junior,2.48,1,1
783,male,senior,2.6,5,7
784,female,junior,2.94,4,3
785,female,senior,1.91,2,3
786,female,sophomore,2.94,4,4
787,female,junior,3.1,3,7
788,male,senior,3.28,4,7
789,female,sophomore,2.97,5,2
790,male,junior,2.81,4,6
791,female,junior,2,4,7
792,female,senior,2.16,2,7
793,female,freshman,2.85,5,1
794,male,senior,2.41,2,4
795,female,sophomore,2.99,3,8
796,male,senior,2.27,2,1
797,male,freshman,2.41,4,5
798,female,sophomore,2.36,3,9
799,male,freshman,2.53,3,7
800,male,junior,3.37,1,8
801,male,sophomore,2.08,3,2
802,female,sophomore,2.52,1,8
803,female,junior,2.98,5,9
804,female,junior,1.85,4,4
805,male,freshman,2.15,1,9
806,male,junior,2.65,3,2
807,male,sophomore,3.04,4,4
808,female,freshman,2.97,1,2
809,female,junior,2.31,2,7
810,male,senior,2.5,1,4
811,female,senior,3.08,2,9
812,male,senior,2.97,2,8
813,male,junior,2.94,4,4
814,female,junior,2.8,1,6
815,male,freshman,2.64,2,6
816,male,freshman,2.35,1,9
817,female,junior,2.85,3,2
818,male,freshman,3.01,4,8
819,female,senior,2.05,3,7
820,female,sophomore,2.77,2,9
821,male,junior,2.8,4,8
822,male,freshman,2.85,3,4
823,male,sophomore,2.6,3,2
824,male,senior,2.89,1,1
825,male,sophomore,2.75,3,8
826,male,freshman,3.25,4,5
827,female,senior,2.87,3,5
828,female,sophomore,2.89,2,5
829,male,senior,2.71,1,9
830,female,senior,2.86,4,2
831,female,junior,2.61,1,8
832,female,senior,1.89,4,9
833,female,senior,2.76,3,2
834,female,sophomore,3.21,3,8
835,female,senior,2.96,1,4
836,male,freshman,2.93,1,2
837,male,junior,2.08,2,2
838,female,sophomore,2.32,3,4
839,male,junior,3.02,1,7
840,female,junior,2.45,1,9
841,male,sophomore,3.12,2,3
842,female,senior,2.43,3,4
843,male,senior,2.37,4,4
844,female,freshman,3.32,1,8
845,female,junior,2.36,3,9
846,male,sophomore,2.02,1,3
847,male,senior,2.98,1,3
848,male,freshman,2.64,2,7
849,female,sophomore,2.27,3,5
850,female,senior,3.37,2,9
851,male,sophomore,2.62,3,4
852,male,sophomore,3.17,4,3
853,male,sophomore,2.93,2,4
854,female,senior,2.95,1,6
855,male,sophomore,3.41,1,7
856,male,senior,2.67,2,1
857,male,freshman,2.82,4,7
858,female,sophomore,2.83,4,5
859,female,sophomore,3.15,2,1
860,male,sophomore,2.58,4,8
861,female,sophomore,2.74,4,3
862,female,freshman,2.92,5,6
863,male,freshman,2.96,4,3
864,female,sophomore,3.21,1,2
865,female,freshman,2.55,1,7
866,male,sophomore,2.51,2,8
867,female,sophomore,2.23,3,9
868,male,sophomore,2.26,2,8
869,male,freshman,3.42,4,3
870,male,freshman,2.68,1,5
871,female,junior,3.25,1,7
872,female,freshman,2.49,1,3
873,female,sophomore,2.5,3,4
874,female,senior,2.81,1,1
875,male,sophomore,2.99,1,7
876,female,sophomore,2.6,5,1
877,male,junior,2.92,1,2
878,female,sophomore,2.42,5,2
879,female,freshman,2.88,3,9
880,male,freshman,2.47,4,9
881,male,junior,2.62,4,1
882,male,sophomore,2.66,4,2
883,female,freshman,2.19,1,2
